Question Name	Option A	Option B	Option C	Option D	Right Ans
"?????????? ????????? ?? ???, ?? ?? ??? ??  ""?""  ?? ????? ???? ??? For practical purposes, we generally take the value of IT as"	3.14	3.41	4.31	4.13	A
??????? ???? ?? ????? ?? ????? ?? Current is measured by an instrument called	????????? / Voltmeter	????????? / Resistor	????????? /Capacitor	????? / Ammeter	B
?????? ????? ????? ????? ???? ?? | A magnetic compass always points 	?????? / East	?????? / West	????? | North	?????? / South	C
?? ?? ????? ?? | Density of water is	"10,000 kg/m3"	1000 kg/m3	100 kg/m3 	1 kg/m3	D
?? ???????? ?? ????? ??| One micron equals	10-3 m	10-6 m	10-1 m	10-12m	A
?????? ?? ?????? ?? / Symbol for Gold is	Ag	Ar	AI	Au	B
??? ?? ??? ?? ????? ?? ??? ?? ???????????? ???? ???? ?? is used for galvanising iron to protect it from rusting	???????? / Calcium 	????????? / Aluminum 	????? / Copper	???? / Zinc	C
?????? ?? ????? ???? ?? | Solder is an alloy of	Hazit Parchet / Copper and nickel 	???????? ?? ???? / Chromium and Nickel 	????? ?? ???? / Copper and Zinc 	???? ?? ??? / Lead and Tin	D
?????? ????????? ?????? ?? ??? ??? ???? ???? ?? | Hardest natural substance known is	???????? / Granite	??????? / Marble	???? / Diamond	????? / Graphite	A
????????? ?? ?????? ???? ?? / Melting point of Aluminium is approximately	1000 °C	500 °C	1500 °C	660 °C	B
?? ??? ?? ????? ?? / One inch is equal to	24.5 mm	25.4 mm	25.2 mm	24.4 mm	C
??? ???? ?????? ?? ????????? ?? ????? ?? ??? ???????? ???? ???? ??? ?? Gauge used for measuring small air gaps and clearances	???? ??? | Ring gauge 	?????? ??? / Feeler gauge 	???? ??? / Taper gauge 	????? ?????? ??? / No Go gauge	D
?????? ?? ???? ????? ?? ??? ?????? ???? ???? ?? Try-square is used to measure	????? ?? ??? ?? ??? | Angle between surfaces 	????? ?? ?????? ?? ?????? ?? ???| Check squarness of the surfaces 	????? ?? ????? / Straightness of surfaces	??????? ??? ?? ??? ???? / None of the above	A
?? ???? ?? ????? ??? ????? ??? ????? ?? ?????? ?? ????? ???? ???? ???? ?? Number of threads per inch in a screw or bolt is checked by	??????? ?????? / Vernier calliper 	???? ???/ Dial gauge	???? ??? ??? / Screw pitch gauge 	????? ???? ??? | Thread pluggauge	B
???? ????? ?? ??? ???? ??? ?? ?????? ???? ???? ?? | Sine bar is used to measure	?????? ??? ?? ??? | Angle of a tapered job 	????? ?? ??? ?? ??? | Angle between surfaces 	??? ?? ?????? / Run out of job	??????? ??? ?? ??? ???? / None of the above	C
????? ??? ?? ??????? ??| Purpose of hollow punch is	???? ??? ?? ???? ???? | Deepenadrill point 	?????? ?????? ?? ???? ????? | Making the marked lines firm	??? ??? ?? ?????? ?? ????????? ???? / Determining the centre of a round job 	"?? ???????, ????? ?? ???? ??? ?? ????? ??? ????? ????? / For making holes in thin metallic, leather or hard board sheets"	D
?? ??????? ??????? ?????? ??? 49 ????? ?????? ???????? ?? 50 ??????? ?????? ???????? ??? ??????? ???? ??? ??????? ???? ?? / In a metric vernier calliper 49 main scale divisions are divided in to 50 vernier scale divisions. So least count is 	0.01 mm	0.2 mm	0.02 mm	??????? ??? ?? ??? ????/ None of the above	A
????? ??????????? ?? ???????? ?? /Accuracy of external micrometer is	0.1 mm 	0.01 mm	0.02 mm	??????? ??? ?? ??? ????? None of the above	B
?????????? ??? ?? ????? ?? ????? ??? / Combination set is an instrument which has	????? ??? / Centre head	???? ???????????? | Bevel protractor 	?????? ?? ??? / Square head	????????? ?? ???/ All the above	C
??????? ??? ?? ???? ?????? ?? | The gear ratio of index head is	50 ?? 1/50 to 1	14 ?? 1 / 14 to1	40 ?? 1 / 40 to 1	??????? ??? ?? ??? ????/ None of the above	D
?????? ?? ????? ?? ??? ?? ?????? ???? ???? ?? _is used for levelling of machineries	????? / Scale	??????? ???? / Spirit level 	???? ???????????? / Bevel protractor 	??? ????? / Gauge blocks	A
"????? ?? ?????? ??, ?? ?????? ??? ??? ????? ?? is the portion of the file which fits in to the handle "	??? / Heel	????? ? Point	????/ Tang	??? / Edge	B
?????? ???? ?? ????? ??? ?? ???? ???? ?? | How many teeth are cut on a rough file	20 ?? 25 ??? ????? ??? | 20 to 25 teeth per inch 	30 ?? 40 ??? ????? ??? / 30 to 40 teeth per inch 	40 ?? 65 ??? ????? ??? / 40 to 65 teeth per inch 	80 ?? 100 ??? ????? ??? / 80 to 100 teeth per inch	C
??? ?? ????? ??? ???? ?? ???? ???? ?? ??? ??? ???? ???? ?? In a single cut file the teeth are cut at an angle_to the centre line of the file	40° 	30° 	60°	80°	D
??????? ????? ?????? ?? ??? ???? ???? ???? ?? filing is done for smoother cutting action	??????? ???? / Straight filing 	????? ???? | Cross filing 	???? ???? | Draw filing 	??????? ??? ?? ??? ???? | None of the above	A
????? ??? ??? ???? ?? ??????? ?? ??? ??? ?? ????? ???? ???? ??? ?? ??? ?? ??? ???? ??? Metallic particles stuck in the file teeth produces scratches on the job surface. The defect is called as	???? | Loading	??? ???? ??? | Pinning fault	???????? / Dressing	??????? ??? ?? ??? ????? None of the above	B
