निम्न में से सॉलिड पुली अधिकतम किस व्यास तक होती है  |  Which of the following Solid pulleys is maximum upto diameter,200 मि.मी. व्यास   | 200 mm Diameter,250 मि.मी. व्यास  | 250 mm Diameter,300 मि.मी. व्यास  | 300 mm Diameter,500 मि.मी.व्यास  | 500 mm diameter,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"टीआइजी वेल्डन के लिए सामान्यतया प्रयुक्त गैस ................ है। |For TIG welding, commonly used gas is ",हीलियम  | Helium ,नाइट्रोजन  | Nitrogen ,हाइड्रोजन  | Hydrogen ,आर्गन  | Argon ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
निम्नलिखित में से किस प्रमापी के एक छोर में नो(NO) व नो-गो(NOGO) प्रमापी है?  |Which of the gauge has NO and NOGO gauge at its one end?,स्थिर प्रकार प्लग प्रमापी |Fixed type plug gauge ,अनुक्रमिक प्लग प्रमापी |Progressive plug gauge ,द्वि अंत प्लग प्रमापी |Double end plug gauge ,समायोजी प्लग प्रमापी  | Adjustable plug gauge ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
स्टील को नॉर्मलाइजिंग करने का मुख्य उद्देश्य है।  | The main objective is tonormalizing the steel,स्टील को मृदु बनाने के लिए।  | To soften steel,स्टील की ब्रिटलनेस दूर करने के लिए।  | To remove the brittleness of steel,आंतरिक स्ट्रेस को दूर करने के लिए।  |To overcome internal stresses,स्टील को मशीनिंग योग्य मुलायम बनाने के लिए।  | To make steel machinable soft,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
स्नैगिंग एक प्रक्रिया है।  | Snagging is a process.,Ruff Grinding,Finish Grinding,Both A and B,None of these,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
टेलिस्कोप गेज एक  मापी औजार है  | The telescope gauge is a measuring tool,प्रत्यक्ष  | Direct,अप्रत्यक्ष  | Indirect,तुलनात्मक  | Comparative,उपरोक्त में से कोई नहीं  | None of the above,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
रेडियस गेज के द्वारा कौन-सी रेडियस चेक की जा सकती है?  |  What radius can be checked by the radius gauge.,उत्तल रेडियस  | Convex radius,अवतल रेडियस  | Concave radius,महीन रेडियस  | fine radius,A' व 'B' दोनों   | Both 'A' and 'B',4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
वाइस के हैडल कि धातु होती है ।  | The head of the vice is the metal.,Cast iron,Mild Steel,Gun metal,Dully not steel,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"एक रेल ट्रैक की ड्रिलिंग करनी है जहां पर इलेक्ट्रिक सप्लाई नही है वहां प्रयोग ड्रिलिंग मशीन ।  |  Drilling of a rail track where there is no electric supply, the experiment drilling machine is there",Pillar Drilling Machine,Bench drilling machine,Gang drilling machine,Ratchet drilling machine,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
कैलिपर का माप लिया जाता है ।  |  Caliper measurement is taken,वर्नियर कैलिपर द्वारा  | By Vernier Calliper,रिवट के सेन्टर से  | From the center of the downtown,"रिवेट के सेंटर से, लैग के प्वाइंट तक  | From the center of the rivet to the point of the lag",इनमे से कोई नहीं  | None of these,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
